pin,slack
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_RXVALIDH,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_SESSEND,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_TXREADY,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VBUSVALID,
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[0],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[1],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[2],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[3],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[4],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[5],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[6],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_VSTATUS[7],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[0],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[1],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[2],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[3],
TEMP_sb_0/TEMP_sb_MSS_0/MSS_ADLIB_INST/INST_MSS_005_IP:FAB_XDATAIN[4],
