pin,slack
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/m28:C,11745
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/m28:Y,11646
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsync_ns_i_a3[5]:A,15408
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsync_ns_i_a3[5]:B,15303
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsync_ns_i_a3[5]:C,14276
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmsync_ns_i_a3[5]:Y,14276
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[0]:ALn,
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[0]:CLK,11147
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[0]:D,16943
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[0]:EN,13425
COREI2C_C0_0/COREI2C_C0_0/g_seradr0_reg_bits.genblk1.seradr0apb[0]:Q,11147
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_147:IPA,
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_147:IPB,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmdet[2]:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmdet[2]:CLK,17406
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmdet[2]:D,17338
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/fsmdet[2]:Q,17406
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_ov_1_sqmuxa:A,15212
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_ov_1_sqmuxa:B,15152
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_ov_1_sqmuxa:C,15077
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_ov_1_sqmuxa:D,14959
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/PCLK_count2_ov_1_sqmuxa:Y,14959
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_98:IPA,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt:ALn,
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt:CLK,7713
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt:D,18648
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt:EN,17386
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/SDAInt:Q,7713
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m22_2_0:A,16110
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m22_2_0:B,16229
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m22_2_0:C,15164
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m22_2_0:D,15196
COREI2C_C0_0/COREI2C_C0_0/I2C_NUM_GENERATION[0].ui2c/sersta_write_proc.sersta_2_4_0_.m22_2_0:Y,15164
TEMP1_MSS_0/MSS_ADLIB_INST/IP_INTERFACE_178:IPB,
